run_id,scenario,converged,convergence_step,dissimilarity_index,clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,initial_dissimilarity_index,initial_clusters,initial_switch_rate,initial_distance,initial_mix_deviation,initial_share,initial_ghetto_rate,final_step,n_steps,stop_reason,experiment,llm_model,metrics_source
0,baseline,True,8,0.18125000000000002,64,0.4864457831325301,1.296875,0.206747275712793,0.5830721003134797,38,0.0625,106,0.5216095380029806,1.103125,0.1630840423943872,0.48443983402489627,5,12,13,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
1,baseline,True,6,0.1875,68,0.44580152671755724,1.321875,0.19913690476190476,0.5947368421052631,30,0.15625,103,0.4953416149068323,1.140625,0.1666294642857143,0.4935483870967742,6,10,11,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
2,baseline,True,5,0.19374999999999998,78,0.48425787106446777,1.290625,0.18011532738095237,0.55741127348643,34,0.13749999999999998,108,0.5226209048361935,1.128125,0.15346726190476193,0.4829059829059829,10,9,10,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
3,baseline,True,10,0.2125,65,0.4540059347181009,1.453125,0.22251488095238098,0.603950103950104,54,0.11875000000000002,112,0.4969604863221885,1.13125,0.1616703869047619,0.47489539748953974,12,14,15,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
4,baseline,True,7,0.275,45,0.45606060606060606,1.440625,0.22029761904761908,0.6281512605042017,58,0.15000000000000002,89,0.48721804511278194,1.165625,0.17983281086729366,0.5047219307450157,16,11,12,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
5,baseline,True,8,0.2125,59,0.47147147147147145,1.384375,0.2147730654761905,0.6037344398340249,49,0.15000000000000002,93,0.55,1.15625,0.17016369047619048,0.4870689655172414,14,12,13,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
6,baseline,True,12,0.25000000000000006,61,0.43797856049004597,1.421875,0.20564360119047617,0.614572333685322,50,0.14375000000000002,98,0.4667697063369397,1.175,0.17106026785714284,0.5175718849840255,9,16,17,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
7,baseline,True,7,0.23125,57,0.47337278106508873,1.359375,0.2067708333333333,0.6192468619246861,49,0.12500000000000003,96,0.4953416149068323,1.16875,0.17518973214285716,0.5187165775401069,9,11,12,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
8,baseline,True,5,0.15625,73,0.47192716236722304,1.340625,0.18756324404761907,0.5916230366492147,36,0.09375,108,0.49216300940438873,1.178125,0.16312127976190477,0.5085287846481876,11,9,10,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
9,baseline,True,12,0.175,41,0.4833091436865022,1.478125,0.2095052083333333,0.611740473738414,59,0.10625000000000001,80,0.5378787878787878,1.171875,0.16216517857142856,0.49159663865546216,11,16,17,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
10,baseline,True,11,0.21875,68,0.4842105263157895,1.296875,0.18606770833333336,0.5878661087866108,34,0.15000000000000002,101,0.4976958525345622,1.159375,0.16231770833333334,0.5079533404029692,8,15,16,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
11,baseline,True,11,0.15625,62,0.48114630467571645,1.290625,0.1984858630952381,0.578125,35,0.11875,96,0.5110062893081762,1.15,0.16704241071428572,0.49356223175965663,11,15,16,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
12,baseline,True,11,0.22499999999999998,51,0.44613050075872535,1.50625,0.22580357142857146,0.6381856540084389,56,0.15000000000000002,87,0.47987616099071206,1.2125,0.18687127976190476,0.5180851063829788,14,15,16,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
13,baseline,True,10,0.35000000000000003,57,0.45857988165680474,1.59375,0.2315029761904762,0.6231884057971014,65,0.20625000000000002,93,0.5053598774885145,1.16875,0.17334449404761906,0.5037037037037037,7,14,15,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
14,baseline,True,6,0.30625,62,0.48244274809160304,1.3875,0.20206473214285717,0.6101694915254238,48,0.16875,96,0.5251141552511416,1.128125,0.15883184523809524,0.4873417721518987,9,10,11,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
15,baseline,True,5,0.19375,62,0.49390243902439024,1.328125,0.1934337797619048,0.5891553701772679,39,0.14375,89,0.515015015015015,1.153125,0.16106770833333334,0.5057351407716372,6,9,10,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
16,baseline,True,9,0.21875,63,0.4823008849557522,1.35,0.18340773809523808,0.5752577319587628,33,0.125,88,0.518796992481203,1.128125,0.15020833333333333,0.49365750528541225,6,13,14,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
17,baseline,True,5,0.11250000000000002,64,0.48558421851289835,1.325,0.19142857142857142,0.5956112852664577,40,0.11250000000000002,94,0.48628048780487804,1.16875,0.17117559523809525,0.5063559322033898,13,9,10,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
18,baseline,True,4,0.19375,52,0.4493865030674847,1.41875,0.2153794642857143,0.6326963906581741,56,0.1375,91,0.4899536321483771,1.175,0.187132407822063,0.5095541401273885,12,8,9,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
